genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R1M001A,96h,45387,0.162825990321453,0.2001409340679545,0.162825990321453,0.2001409340679545,1554.1,1503.74,1752.2174873132794,0.9675953928318641,1.1274805271946975,1.1652396606549533
speechless,20210712_R1M001A,96h,45259,0.1499428308239715,0.1615464773394145,0.1499428308239715,0.1615464773394145,1611.99,1828.75,2121.9725928525754,1.1344673354053065,1.316368335320055,1.1603404472194534
speechless,20210712_R1M001A,96h,44971,0.1888353851274137,0.2131807628651795,0.1888353851274137,0.2131807628651795,1677.76,1772.85,2226.8971146252293,1.0566767594888422,1.3273037351142174,1.2561114107934848
speechless,20210712_R1M001A,96h,45163,0.2265870216784226,0.1766683516091652,0.2265870216784226,0.1766683516091652,1478.17,1410.7,1946.093925333817,0.9543557236312468,1.3165562319177204,1.3795235878172658
speechless,20210712_R1M001A,96h,45291,0.1403244645299036,0.2641701424818057,0.1403244645299036,0.2641701424818057,1155.13,1028.04,1209.0167716638575,0.8899777514219178,1.0466499629166046,1.1760405934242417
speechless,20210712_R1M001A,96h,44571,0.1471589629374131,0.3011214218588104,0.1471589629374131,0.3011214218588104,1577.16,1850.35,2738.478361160345,1.173216414314337,1.736335160136159,1.479978577653063
speechless,20210712_R1M001A,96h,43291,0.1465526156179047,0.2438433959905888,0.1465526156179047,0.2438433959905888,1644.02,1620.72,2005.6438489235857,0.9858274230240508,1.2199631688930705,1.2375017578135554
speechless,20210712_R1M001A,96h,45275,0.1621685391019289,0.1827698847329221,0.1621685391019289,0.1827698847329221,1092.56,1165.28,1399.9311608890123,1.0665592736325693,1.2813311496750863,1.201368907806718
speechless,20210712_R1M001A,96h,45019,0.1661359766699052,0.2164622148082782,0.1661359766699052,0.2164622148082782,1605.92,1519.37,1760.17003754715,0.9461056590614725,1.0960508851917592,1.158486765927424
speechless,20210712_R1M001A,96h,45243,0.1807557310263208,0.1481019884439088,0.1807557310263208,0.1481019884439088,1245.32,1187.49,1440.8449117067416,0.9535621366395787,1.1570077664429559,1.21335330125453
speechless,20210712_R1M001A,96h,45179,0.1973537219473472,0.1057205986649382,0.1973537219473472,0.1057205986649382,1496.09,1437.84,1873.6985834309637,0.9610651765602337,1.252396970390126,1.3031342732369136
speechless,20210712_R1M001A,96h,45435,0.2092018391276005,0.2197066124037014,0.2092018391276005,0.2197066124037014,1458.49,1331.49,1784.5391758084593,0.9129236402032239,1.2235525617648797,1.3402572875563912
