genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,186,0.7410548759541797,0.148717526793709,0.0402414321391939,0.6510215474459258,0.3021271762211976,0.0847869285394386,375.094,341.781,362.7680901195407,0.9111875956426922,0.9671391441066525,1.0614050813811788
WT,20200221 WT S5,120h,122,0.7597929952021623,0.2141612869415462,0.0595022007450602,0.5830710474053651,0.3983692698963981,0.1129390114963471,1077.59,1126.06,1364.0191689034125,1.044980001670394,1.2658053331075942,1.2113201507054798
WT,20200221 WT S5,120h,634,0.6016989002097408,0.2575784989965016,0.0689181844930039,0.4680845904061763,0.5601658765602411,0.1550784876009354,783.281,810.417,898.8080631227103,1.0346440166428141,1.147491210846057,1.1090686191463288
WT,20200221 WT S5,120h,378,0.5845687861251755,0.2862064024313924,0.0780355634254954,0.546292574224683,0.4436305083401192,0.1247877242215487,979.469,946.563,1119.803905502065,0.9664042455657095,1.1432765156447675,1.1830209986044933
WT,20200221 WT S5,120h,250,0.7377114216859896,0.1628309896886159,0.0421947298807202,0.3118356934463413,0.717523171702779,0.1948081975066799,1350.91,1169.47,1528.384005654788,0.865690534528577,1.1313736708254347,1.3069031318928985
WT,20200221 WT S5,120h,506,0.8007777316630937,0.1177526495850456,0.0326303410252937,0.6821916715077128,0.2786023660673072,0.0779681651044878,101.563,100.5,104.89359970322808,0.9895335899884801,1.0327934356333317,1.043717409982369
WT,20200221 WT S5,120h,518,0.738508476098162,0.1827666376585926,0.0513386927725083,0.5474720809367812,0.4770091045663235,0.1266611257414649,107.094,117.375,134.1328105800326,1.0959997758978095,1.2524773617572658,1.142771549137658
WT,20200221 WT S5,120h,134,0.8043783988113153,0.118732896208992,0.0332794053663232,0.4825936939491082,0.4448729672980894,0.1238090876612957,240.25,205.688,242.29204473284867,0.8561415192507804,1.0084996659015553,1.1779590677766747
WT,20200221 WT S5,120h,582,0.7723571857096759,0.1529838367529442,0.0427846864587298,0.4298576076857646,0.5962951056645337,0.1675884803036055,814.844,889.656,1027.5289354723077,1.0918114387539208,1.2610130717932606,1.154973310439437
WT,20200221 WT S5,120h,326,0.6077893538239991,0.2369008758340229,0.0599334360593778,0.5780579410212742,0.3930628943573669,0.1113652020764881,448.75,412.656,445.76551933674864,0.9195676880222842,0.9933493467114176,1.0802351579445073
